gross_area_sqm,model,physical_max_students,standard_comfort_students,premium_students,suitable_40_full_day,reuse_conditions,legal_vs_physical_vs_quality_note,assumption_flag,notes
180,A紧凑复用,47,19,14,conditional,学习/就餐分时复用；活动并入学习；午休可用双层床压缩足迹；厨房仍独立,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈47人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈19人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈14人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按A紧凑复用布局逻辑评估suitable_40(该逻辑40人需求≈185.4㎡)；禁止解读为180㎡=40人事实；CAP样本多为brand_claim/口述
180,B标准舒适,47,19,14,no,就餐与学习宜相对独立；允许轻度分批就餐；午休单层床,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈47人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈19人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈14人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按B标准舒适布局逻辑评估suitable_40(该逻辑40人需求≈370.0㎡)；禁止解读为180㎡=40人事实；CAP样本多为brand_claim/口述
180,C品质高端,47,19,14,no,各功能独立；不依赖复用；加宽疏散与活动,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈47人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈19人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈14人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按C品质高端布局逻辑评估suitable_40(该逻辑40人需求≈505.0㎡)；禁止解读为180㎡=40人事实；CAP样本多为brand_claim/口述
200,A紧凑复用,52,21,15,yes,学习/就餐分时复用；活动并入学习；午休可用双层床压缩足迹；厨房仍独立,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈52人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈21人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈15人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按A紧凑复用布局逻辑评估suitable_40(该逻辑40人需求≈185.4㎡)；禁止解读为200㎡=40人事实；CAP样本多为brand_claim/口述
200,B标准舒适,52,21,15,no,就餐与学习宜相对独立；允许轻度分批就餐；午休单层床,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈52人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈21人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈15人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按B标准舒适布局逻辑评估suitable_40(该逻辑40人需求≈370.0㎡)；禁止解读为200㎡=40人事实；CAP样本多为brand_claim/口述
200,C品质高端,52,21,15,no,各功能独立；不依赖复用；加宽疏散与活动,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈52人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈21人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈15人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按C品质高端布局逻辑评估suitable_40(该逻辑40人需求≈505.0㎡)；禁止解读为200㎡=40人事实；CAP样本多为brand_claim/口述
250,A紧凑复用,65,27,19,yes,学习/就餐分时复用；活动并入学习；午休可用双层床压缩足迹；厨房仍独立,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈65人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈27人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈19人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按A紧凑复用布局逻辑评估suitable_40(该逻辑40人需求≈185.4㎡)；禁止解读为250㎡=40人事实；CAP样本多为brand_claim/口述
250,B标准舒适,65,27,19,no,就餐与学习宜相对独立；允许轻度分批就餐；午休单层床,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈65人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈27人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈19人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按B标准舒适布局逻辑评估suitable_40(该逻辑40人需求≈370.0㎡)；禁止解读为250㎡=40人事实；CAP样本多为brand_claim/口述
250,C品质高端,65,27,19,no,各功能独立；不依赖复用；加宽疏散与活动,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈65人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈27人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈19人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按C品质高端布局逻辑评估suitable_40(该逻辑40人需求≈505.0㎡)；禁止解读为250㎡=40人事实；CAP样本多为brand_claim/口述
300,A紧凑复用,78,32,23,yes,学习/就餐分时复用；活动并入学习；午休可用双层床压缩足迹；厨房仍独立,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈78人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈32人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈23人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按A紧凑复用布局逻辑评估suitable_40(该逻辑40人需求≈185.4㎡)；禁止解读为300㎡=40人事实；CAP样本多为brand_claim/口述
