model_id,model_name,zone,calc_basis,area_sqm,per_person_or_note,assumption_flag,source_refs,notes
A,A紧凑复用,午休,床足迹20×1.2×0.6=14.4 + 过道/排距≈18 + 储物格0.2×40=8 + 进出通道6,46.4,约1.16㎡/人(含过道储物)；床尺寸假设1.2×0.6,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.2×0.6m 双层架子床/叠叠床，40床位≈20个地面足迹；模型合计约185.4㎡(规划模型非实测)
A,A紧凑复用,学习,单人桌椅紧凑0.85㎡×40；与就餐分时复用同一空间,34.0,0.85㎡/人；就餐批次复用本区,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.2×0.6m 双层架子床/叠叠床，40床位≈20个地面足迹；模型合计约185.4㎡(规划模型非实测)
A,A紧凑复用,就餐,分两批20人就餐，主就餐面复用学习区；仅计备餐/分餐溢流台10㎡,10.0,复用条件下dedicated≈0.25㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.2×0.6m 双层架子床/叠叠床，40床位≈20个地面足迹；模型合计约185.4㎡(规划模型非实测)
A,A紧凑复用,厨房,紧凑热厨+备餐，含清洗初加工,15.0,固定区；非按生线性,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.2×0.6m 双层架子床/叠叠床，40床位≈20个地面足迹；模型合计约185.4㎡(规划模型非实测)
A,A紧凑复用,卫生间,2蹲/坐位+通风；男女或分时,10.0,约0.25㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.2×0.6m 双层架子床/叠叠床，40床位≈20个地面足迹；模型合计约185.4㎡(规划模型非实测)
A,A紧凑复用,洗手,洗手台+消毒点,5.0,约0.125㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.2×0.6m 双层架子床/叠叠床，40床位≈20个地面足迹；模型合计约185.4㎡(规划模型非实测)
A,A紧凑复用,办公室,前台接待兼办公桌,8.0,固定,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.2×0.6m 双层架子床/叠叠床，40床位≈20个地面足迹；模型合计约185.4㎡(规划模型非实测)
A,A紧凑复用,储物,被褥柜/教材/清洁用品,10.0,约0.25㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.2×0.6m 双层架子床/叠叠床，40床位≈20个地面足迹；模型合计约185.4㎡(规划模型非实测)
A,A紧凑复用,活动,无独立活动区；课间复用学习区,0.0,复用=0 dedicated,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.2×0.6m 双层架子床/叠叠床，40床位≈20个地面足迹；模型合计约185.4㎡(规划模型非实测)
A,A紧凑复用,走道疏散,主通道+安全出口缓冲(净面积约12%),25.0,疏散不可压缩过多,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.2×0.6m 双层架子床/叠叠床，40床位≈20个地面足迹；模型合计约185.4㎡(规划模型非实测)
