evidence_id,topic,school_area,institution_name,plain_language_fact,numeric_value,source_type,source_url,screenshot_path,date,confidence,caveat
E0001,三校招生规模对比,泉新学校,济南市槐荫区泉新学校,济南市槐荫区泉新学校公开信息显示2026招生班数/学位线索为班数12、学位540。,540,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjdjnshyqqxxxp/channel_jns_huaiyinquqjyhtyjdjnshyqqxxxp_10d/doc_685a5b80e34b9d2e43494bde.html,,2026-09-16T01:56:33-07:00,A,dismissal_time_not_publicly_found
E0002,学校公开信息缺口,泉新学校,济南市槐荫区泉新学校,济南市槐荫区泉新学校的放学时间/午休/配餐校级细则在公开网页中未稳定找到，需现场或家长侧核实。,,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjdjnshyqqxxxp/channel_jns_huaiyinquqjyhtyjdjnshyqqxxxp_10d/doc_685a5b80e34b9d2e43494bde.html,,,B,not_publicly_found
E0003,三校招生规模对比,杨柳春风学校,济南市槐荫区杨柳春风学校,济南市槐荫区杨柳春风学校公开信息显示2026招生班数/学位线索为班数6、学位270。,270,官方事实,http://www.huaiyin.gov.cn/gongkai/site_hyqylcfxx/channel_66beb036f551899f22023a25/doc_686f754d71083ac9f249512b.html,,2026-09-16T01:56:33-07:00,A,dismissal_time_not_publicly_found
E0004,学校公开信息缺口,杨柳春风学校,济南市槐荫区杨柳春风学校,济南市槐荫区杨柳春风学校的放学时间/午休/配餐校级细则在公开网页中未稳定找到，需现场或家长侧核实。,,官方事实,http://www.huaiyin.gov.cn/gongkai/site_hyqylcfxx/channel_66beb036f551899f22023a25/doc_686f754d71083ac9f249512b.html,,,B,not_publicly_found
E0005,学校公开信息缺口,泉景小学,济南泉景中学小学部,济南泉景中学小学部的放学时间/午休/配餐校级细则在公开网页中未稳定找到，需现场或家长侧核实。,,官方事实,http://www.shizhong.gov.cn/gongkai/site_shizhongquqjyhtyjdjnqjzxp/channel_jns_shizhongquqjyhtyjdjnqjzxp_10d/doc_68464461bbba7295f1d281c7.html,,,B,not_publicly_found
E0006,学校公开信息缺口,泉景中学,济南泉景中学,济南泉景中学的放学时间/午休/配餐校级细则在公开网页中未稳定找到，需现场或家长侧核实。,,官方事实,http://www.shizhong.gov.cn/gongkai/site_shizhongquqjyhtyjdjnqjzxp/channel_jns_shizhongquqjyhtyjdjnqjzxp_10d/doc_68464461bbba7295f1d281c7.html,,,B,not_publicly_found
E0007,学校公开信息缺口,绿地泉景园,(小区·对口泉新学校),(小区·对口泉新学校)的放学时间/午休/配餐校级细则在公开网页中未稳定找到，需现场或家长侧核实。,,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjdjnshyqqxxxp/channel_jns_huaiyinquqjyhtyjdjnshyqqxxxp_10d/doc_685a5b80e34b9d2e43494bde.html,,,B,not_publicly_found
E0008,三校招生规模对比,阳光100参照,山东省济南阳光100中学/济南市阳光100小学,山东省济南阳光100中学/济南市阳光100小学公开信息显示2026招生班数/学位线索为班数阳光100中学4班180;阳光100小学4班180(区计划表)、学位中学180+小学180。,中学180+小学180,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjd/channel_6389a745375991828263d29e/doc_6a228a104c48b9888dc2d3e3.html,,2026-09-16T01:56:33-07:00,A,
E0009,学校公开信息缺口,阳光100参照,山东省济南阳光100中学/济南市阳光100小学,山东省济南阳光100中学/济南市阳光100小学的放学时间/午休/配餐校级细则在公开网页中未稳定找到，需现场或家长侧核实。,,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjd/channel_6389a745375991828263d29e/doc_6a228a104c48b9888dc2d3e3.html,,,B,not_publicly_found
E0010,学校公开信息缺口,泉海参照,济南市市中区泉海学校,济南市市中区泉海学校的放学时间/午休/配餐校级细则在公开网页中未稳定找到，需现场或家长侧核实。,,官方事实,http://www.shizhong.gov.cn/gongkai/site_shizhongquqjyhtyjdjnsszqqhxxw/channel_jns_shizhongquqjyhtyjdjnsszqqhxxw_10d/doc_6847fbf4bbba7295f1d28229.html,,,B,not_publicly_found
