budget_id,area_sqm,tier,line_item,amount_cny,calc_basis,source_nature,source_refs,assumption_flag,notes
CX_300_经济型_0001,300,经济型,设计费,8100,硬装造价×3%；硬装单价900元/㎡×300㎡,model_assumption,industry_rule_of_thumb,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0002,300,经济型,拆除工程,7500,300㎡×25元/㎡(旧装拆除)；高端×1.2,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0003,300,经济型,水电改造,37385,300㎡×180元/㎡×档位系数0.69,model_assumption,REN_002含水电厨房量级参照,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0004,300,经济型,墙地面天花,121500,硬装主体约45%：900×0.45×300,model_assumption,REN_003/REN_015单价锚,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0005,300,经济型,隔墙隔断,16615,300×80元/㎡×档位,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0006,300,经济型,消防工程,36000,300×120元/㎡；含灭火器喷淋报建预备,model_assumption,REG_SD_004消防审验驱动,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0007,300,经济型,厨房装修,31154,厨区18㎡×2500元/㎡×档位,model_assumption,REN_001含水电厨房,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0008,300,经济型,排烟系统,18000,商用排烟管道+风机套餐(档位),model_assumption,REN_014询价缺口补工程假设,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0009,300,经济型,燃气开户与改造,8000,开户+管内改造估,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0010,300,经济型,给排水改造,12000,300×40元/㎡,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0011,300,经济型,厕所洁具与防水,12000,厕位套数随面积档,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0012,300,经济型,空调,16800,300×80元/㎡×设备系数0.7,model_assumption,REN_012设备包参照,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0013,300,经济型,新风,12600,300×60元/㎡×设备系数；公开价目缺失(REN_013/F_005),model_assumption,REN_013未找到价目→工程假设,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0014,300,经济型,照明,9346,300×45元/㎡×档位,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0015,300,经济型,监控,8000,摄像头+硬盘录像机套装,model_assumption,REN_012含监控未单列,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0016,300,经济型,门禁,3000,门禁读头+电锁,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0017,300,经济型,网络弱电,4500,300×15元/㎡布线+光猫路由,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0018,300,经济型,桌椅,3360,35套×120元/套×档位；锚REN_009(80-150),derived_from_sample,REN_009,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0019,300,经济型,午休床,3500,35张×单价(经济叠叠床~100/标准架子床~350/高端~550)；锚REN_006/007,derived_from_sample,REN_006;REN_007,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0020,300,经济型,床品,8750,35套×250元；锚REN_008(200-300),derived_from_sample,REN_008,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0021,300,经济型,储物柜,1960,35格×80×设备系数,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0022,300,经济型,厨电灶具,10500,灶具+油烟机+消毒柜基础包×0.7,model_assumption,REN_014,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0023,300,经济型,冰箱冷柜,6000,双门冰箱+留样冷藏,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0024,300,经济型,消毒柜/消毒设备,2100,餐具消毒柜,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0025,300,经济型,留样冰箱/留样设备,1500,食安留样专用,model_assumption,REG_SD食品管理驱动,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0026,300,经济型,餐具,1400,35人份×40元,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0027,300,经济型,办公家具电器,2750,前台桌椅电脑打印×软装系数0.55,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0028,300,经济型,门头招牌,8000,门头灯箱/发光字档位,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0029,300,经济型,软装装饰,6600,300×40×软装系数0.55,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0030,300,经济型,软件系统,3000,排课/家校/收银SaaS首年,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0031,300,经济型,开业耗材,5000,清洁/办公/一次性开业包,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0032,300,经济型,房租押金,18000,按中位大面积租金假设30元/㎡/月×300㎡×押2个月；锚large_space_rent_samples中位≈32.5与v2≈30.6,model_assumption,large_space_rent_samples;local_rent_2026,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0033,300,经济型,转让费预备,0,经济型假设空铺0；标准/高端预留面议转让,model_assumption,RENT_* transfer_fee多面议,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0034,300,经济型,加盟费(单列不计入装修),0,加盟费单独列示，绝不混入装修小计；经济/标准按直营0；高端示例列20万brand_claim量级,model_assumption,REN贝尔加盟18-60万量级仅作高端示例,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0035,300,经济型,开业人工(筹备期),12000,筹备3人×1月×4000；锚labor_cost_2026老师区间,derived_from_sample,labor_cost_2026,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0036,300,经济型,开业营销,15000,地推/体验课/物料,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_0037,300,经济型,预备金(10%),45392,对装修+设备+开办核心小计453920×10%；不含押金/转让/加盟费,model_assumption,Issue要求10-15%,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_经济型_TOTAL,300,经济型,合计(含押金转让加盟预备金),517312,核心(装修设备开办)≈453920+预备金45392+押金18000+转让0+加盟0,model_assumption,sum,model_assumption,加盟费0已单列可剥离；装修相关核心(不含押金转让加盟预备)≈453920
CX_300_标准品质型_0039,300,标准品质型,设计费,11700,硬装造价×3%；硬装单价1300元/㎡×300㎡,model_assumption,industry_rule_of_thumb,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0040,300,标准品质型,拆除工程,7500,300㎡×25元/㎡(旧装拆除)；高端×1.2,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0041,300,标准品质型,水电改造,54000,300㎡×180元/㎡×档位系数1.00,model_assumption,REN_002含水电厨房量级参照,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0042,300,标准品质型,墙地面天花,175500,硬装主体约45%：1300×0.45×300,model_assumption,REN_003/REN_015单价锚,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0043,300,标准品质型,隔墙隔断,24000,300×80元/㎡×档位,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0044,300,标准品质型,消防工程,36000,300×120元/㎡；含灭火器喷淋报建预备,model_assumption,REG_SD_004消防审验驱动,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0045,300,标准品质型,厨房装修,45000,厨区18㎡×2500元/㎡×档位,model_assumption,REN_001含水电厨房,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0046,300,标准品质型,排烟系统,28000,商用排烟管道+风机套餐(档位),model_assumption,REN_014询价缺口补工程假设,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0047,300,标准品质型,燃气开户与改造,12000,开户+管内改造估,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0048,300,标准品质型,给排水改造,12000,300×40元/㎡,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0049,300,标准品质型,厕所洁具与防水,12000,厕位套数随面积档,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0050,300,标准品质型,空调,24000,300×80元/㎡×设备系数1.0,model_assumption,REN_012设备包参照,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0051,300,标准品质型,新风,18000,300×60元/㎡×设备系数；公开价目缺失(REN_013/F_005),model_assumption,REN_013未找到价目→工程假设,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0052,300,标准品质型,照明,13500,300×45元/㎡×档位,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0053,300,标准品质型,监控,8000,摄像头+硬盘录像机套装,model_assumption,REN_012含监控未单列,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0054,300,标准品质型,门禁,5000,门禁读头+电锁,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0055,300,标准品质型,网络弱电,4500,300×15元/㎡布线+光猫路由,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0056,300,标准品质型,桌椅,4200,35套×120元/套×档位；锚REN_009(80-150),derived_from_sample,REN_009,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0057,300,标准品质型,午休床,12250,35张×单价(经济叠叠床~100/标准架子床~350/高端~550)；锚REN_006/007,derived_from_sample,REN_006;REN_007,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0058,300,标准品质型,床品,8750,35套×250元；锚REN_008(200-300),derived_from_sample,REN_008,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0059,300,标准品质型,储物柜,2800,35格×80×设备系数,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0060,300,标准品质型,厨电灶具,15000,灶具+油烟机+消毒柜基础包×1.0,model_assumption,REN_014,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0061,300,标准品质型,冰箱冷柜,6000,双门冰箱+留样冷藏,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0062,300,标准品质型,消毒柜/消毒设备,3000,餐具消毒柜,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0063,300,标准品质型,留样冰箱/留样设备,1500,食安留样专用,model_assumption,REG_SD食品管理驱动,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0064,300,标准品质型,餐具,1400,35人份×40元,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0065,300,标准品质型,办公家具电器,4250,前台桌椅电脑打印×软装系数0.85,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
