opex_id,students,line_item,amount_cny_month,cash_or_accounting,variable_or_fixed,calc_basis,source_refs,assumption_flag,notes
OX_20_0001,20,租金,7500,cash,fixed,中位大面积租金假设30元/㎡/月×代理面积250㎡(随人数分档代理，非选址结论),large_space_rent_samples中位约32.5;v2约30.6,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0002,20,物业费,750,cash,fixed,250×3元/㎡/月,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0003,20,水电燃气,2700,cash,variable,底数2000+20×35,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0004,20,人工_托管老师,8000,cash,semi_fixed,2人×4000；配比约1:10；锚labor中位,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0005,20,人工_厨师,5000,cash,semi_fixed,1人×5000；锚lab_009/014,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0006,20,人工_生活老师,0,cash,semi_fixed,0人×3500；n<40为0,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0007,20,食材配餐,4400,cash,variable,20人×10元/天×22天；锚D_food_cost_7_3量级,batch2_D_cost_benchmarks,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0008,20,社保公积金雇主部分,3250,cash,semi_fixed,按应发工资×25%雇主成本粗估,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0009,20,责任险/食安险,800,cash,fixed,公开保费缺失(D_ins_missing)→量级假设,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0010,20,宽带网络,300,cash,fixed,企业宽带,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0011,20,耗材清洁用品,660,cash,variable,500+20×8,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
