content_id,title,gate_status,topic_category,theme,search_seed
7677915384284037651,一个冷门品牌成了直男的Lululemon,TOPIC_PASS_MECHANICAL,商业模式,品牌定位,商业模式
7678657654369141289,867亿！黄仁勋收购Hugging Face拿下AI界GitHub,TOPIC_PASS_MECHANICAL,AI商业,开源生态,AI创业
7683548929375339037,跑步与人生：别用别人的配速跑马拉松,TOPIC_PASS_MECHANICAL,普通人收入,职场认知,普通人收入
7684096740282171948,普通人如何建立个人品牌实现价值变现,TOPIC_PASS_MECHANICAL,能力变现,个人品牌,能力变现
7684100593694032399,武汉大学买商品房当学生公寓,TOPIC_REVIEW_REQUIRED,,,
7684447381258666559,中年男人适合做什么副业？5个方向值得参考,TOPIC_PASS_MECHANICAL,能力变现,副业方向,普通人赚钱逻辑
7684457991839531556,52岁女演员卖韭菜盒子负债600万经历,TOPIC_REVIEW_REQUIRED,娱乐社会,名人经历,赚钱
7684594958250836523,15名同事合买彩票中奖3000万港元纠纷,OFF_TOPIC_MECHANICAL,社会新闻,彩票纠纷,赚钱
7684820046559969811,推动软件产业实现换道超车,TOPIC_PASS_MECHANICAL,AI商业,产业升级,AI商业
7684821300744962602,2026年服贸会探新：金融服务迈向精不精,TOPIC_PASS_MECHANICAL,商业模式,金融服务,商业模式
