source_platform,url,note_id,title,body,author,publish_time,likes,favorites,comments,scrape_date
xiaohongshu,https://www.xiaohongshu.com/explore/6aa91819000000000d026b80?xsec_token=ABNpEzSkABPr3gk1bnc4ACCutEHApup7G-7PVTFT8AAKE=&xsec_source=pc_search,6aa91819000000000d026b80,济南宝妈分享｜靠谱托管，真的能减轻不少,"托管日常，不只是盯着写作业而已。辅导作业前老师会提前做习题，梳理重难点和易错点；空余时间陪孩子做手抄报；对磨蹭的孩子用计时器训练时间观念。教师节收到家长小蛋糕。面向鑫苑世家、西城实验小学周边。
【标注】正向：作业辅导、习惯训练、家长认可；未披露价格。",家长A,20小时前,1,1,0,2026-09-15
xiaohongshu,https://www.xiaohongshu.com/explore/69fee543000000002202bb05?xsec_token=ABxGZ1j-aTsUtrx0xUsH4VDE3NZfTrOupgdj52HdXo_x4=&xsec_source=pc_search,69fee543000000002202bb05,在济南｜有一家很棒的托管,"宣传干净舒适、分区管理，提供阅读和自习空间；每日现做营养餐；阅读、体能活动；强调安全、安心、舒心成长。账号为恐龙童成儿童成长中心，评论回复位置在奥体中心、全运村。
【标注】被赞：环境、餐食、分区管理；组织：恐龙童成儿童成长中心；未披露价格。",恐龙童成儿童成长中心,05-10,4,5,3,2026-09-15
xiaohongshu,https://www.xiaohongshu.com/explore/6a8d6eeb000000001803c15e?xsec_token=AB1OD-byM-SwOWLUI5eJRf2DoH8T0fmTPMhL2pK3mHmFU=&xsec_source=pc_search,6a8d6eeb000000001803c15e,山东校外托管服务规范提示｜9月16实施,"解读山东省《关于加强校外托管机构监管的意见》（2026-09-16施行）：营利性需营业执照，餐饮需食品许可/小餐饮登记，从业人员健康证；禁地下室、半地下室、危房、低等级夹芯板，与易燃易爆场所同楼；托管不得变相学科培训或作业辅导；教育、公安、市场监管、消防联合监管，12345举报即核查；家长互助托管5人内非盈利不受商业约束。作者判断住宅小饭桌合规/消防难，成本和收费或上涨。
【标注】痛点：消防、餐饮资质、合规成本；可能影响济南住宅小饭桌。",归舍空间设计,编辑于 08-25,7,6,9,2026-09-15
xiaohongshu,https://www.xiaohongshu.com/explore/69d71f32000000001a02a86e?xsec_token=AB1Zw-wwKplherrEhORytrNf4DrRwcajZVv7rnqJPTLwg=&xsec_source=pc_search,69d71f32000000001a02a86e,济南贝尔安亲托管！高端托管大揭秘,"贝尔安亲济南舜华校区宣传：持证/培训师资、小班陪护、同步校内知识点；新鲜食材、忌口安排、独立休息区一人一床、消杀通风、监控反馈；引导式作业辅导和习惯培养，多校区。
【标注】被赞：师资、餐食安全、休息区、反馈；组织：贝尔安亲济南舜华校区；未披露价格。",多翊｜贝尔安亲济南舜华校区,编辑于 04-20,3,1,1,2026-09-15
xiaohongshu,https://www.xiaohongshu.com/explore/6a6c41290000000028007273?xsec_token=AB0pGdJHjj5HHePofKgwIUFhQ6QxpYs8A1nu65DPxcqHY=&xsec_source=pc_search,6a6c41290000000028007273,济南上班族狂喜｜5-6岁整周托管终于找到了,"济南学易佳面向5-6岁，周一至周五全天「一周适应体验课」，5天¥199；作息、午休、课堂规则、社交、自理训练，老师记录适应表现。
【标注】价格：199元/5天；组织：济南学易佳；适合幼升小/幼儿托管。",济南学易佳,07-30,2,2,1,2026-09-15
xiaohongshu,https://www.xiaohongshu.com/explore/6aa37734000000000b00d2a8?xsec_token=AB4u-bXe4QZjPERDEZX4MVpsfftBFLuhja9tLhIeu2jX8=&xsec_source=pc_search,6aa37734000000000b00d2a8,挖到宝！这家托管也太香了！,"一名成长中心宣传跟学托管营养餐：孜然鸡丁、炸蘑菇、菠菜、白菜炖豆腐、小米南瓜粥、馒头等，强调蛋白、蔬菜、养胃和不重样。
【标注】被赞：餐食搭配、营养、多样；组织：一名成长中心；未披露价格。",一名成长中心,5天前,6,4,4,2026-09-15
xiaohongshu,https://www.xiaohongshu.com/explore/6a068d7a00000000350229b4?xsec_token=AB6wmZbQex5cbnZ9Q8B2PQXNPy4ixI0n2svFY4YkFwsRg=&xsec_source=,6a068d7a00000000350229b4,济南求职避雷｜该历城托管真的太离谱了❌,"求职者称历城某托管面试/入职不提前说规则，实习两天不给工资；隐形工作、无偿打扫卫生、接孩子放学久等，早六晚七且工资低。评论提到试岗无薪、教师资质/法律维权疑问，并有评论指向“wutongtuoguan”、疑似“萌芽”（均为评论信息，未独立核实）。
【标注】痛点：试岗/拖欠工资、隐形劳动、超长工时；组织/名称：wutongtuoguan（评论指称）。",家长B,05-14,9,2,21,2026-09-15
xiaohongshu,https://www.xiaohongshu.com/explore/6a659e810000000004029ccf?xsec_token=ABEUqrjd5JhFQLnVBUnSNmXpGfFsu2oierbpGifArUEC4=&xsec_source=,6a659e810000000004029ccf,避雷济南历城区托管 欠工资,"作者称历城区某托管拖欠工资，评论问是否还找工作、欠多少，并出现“张马屯这个？”等线索，未披露机构全名。
【标注】痛点：欠工资；机构身份未核实。",家长C,07-25,13,3,7,2026-09-15
xiaohongshu,https://www.xiaohongshu.com/explore/6a8a7111000000002802e94b?xsec_token=ABrnFEseFGcQFfvkxrPaqlQMltTK_5NsnFK2PjzX5iSAc=&xsec_source=,6a8a7111000000002802e94b,济南槐荫区实验学校晚辅招学生啦,"槐荫区实验学校附近晚辅：20人以下小班、作业全查错题精讲、习惯培养、离学校近接送方便、健康晚餐。原价880元/月；前10名首月减100元；39.9元体验3天晚辅（含晚餐）；三人同行每人再减100元。地址称在槐荫区实验学校附近300米北京烤鸭二楼。
【标注】价格：880元/月，体验39.9元/3天；组织/地点：槐荫区实验学校附近。",优秀的小福宝,编辑于 08-22,1,1,1,2026-09-15
xiaohongshu,https://www.xiaohongshu.com/explore/6a824f6e0000000033013513?xsec_token=AB_Gs2xf2j74kekdsRt7XgUMipEaK1OlvtIeklqs2kSkE=&xsec_source=,6a824f6e0000000033013513,泉景小学附近小饭桌，求推荐！,"一年级新生家长求推荐泉景小学附近靠谱小饭桌；后续作者回复已找到附近幼儿园托管。评论提到“绿沅幼儿园”、博雅幼儿园满员、22号楼那家老师负责等线索，均为评论信息未独立核实。
【标注】需求：泉景小学一年级；线索：绿沅幼儿园/附近幼儿园托管；价格未披露。",家长D,08-16,1,0,9,2026-09-15
