evidence_id,topic,school_area,institution_name,plain_language_fact,numeric_value,source_type,source_url,screenshot_path,date,confidence,caveat
EV3_001,法规生均面积,济南/山东,,山东省鲁政办发〔2026〕8号公开文本未规定校外托管生均建筑或使用面积的数值标准。,未规定,官方事实,https://gaige.zibo.gov.cn/art/2026/8/26/art_19874_3017529.html,06_evidence/raw/luzhengbanfa_2026_8_zibo.html,2026-08-06,A,济南/槐荫实施细则公开检索未发现(REG_JN_001)
EV3_002,法规餐饮面积阈值,济南/山东,,餐饮服务相关区域面积不足50㎡且不符食品经营许可办理条件的，应办理小餐饮登记。,50,官方事实,https://gaige.zibo.gov.cn/art/2026/8/26/art_19874_3017529.html,,2026-08-06,A,
EV3_003,法规场所禁止,济南/山东,,校外托管不得设在地下室/半地下室、低等级金属夹芯板建筑、仓储建筑，且不得与易燃易爆危险品场所同建筑。,,官方事实,http://news.e23.cn/shandong/2026-08-08/2026080800230.html,,2026-08-06,A,
EV3_004,外省参照生均,外省参照,,海口/海南合规材料写明学生人均使用建筑面积不得小于4㎡，且应一人一床不得通铺；此为外省规定，不能当作山东法条。,4,官方事实,http://hkyshj.haikou.gov.cn/hgzd/zdcjhgqd/xwtgjg/202607/t1534372.shtml,06_evidence/raw/haikou_compliance_2026.html,2024,B,planning_reference_only_outer_province
EV3_005,外省参照生均,外省参照,,深圳市管理办法写明托管场所建筑面积80㎡以上、生均建筑面积4㎡以上；外省参照。,4,官方事实,http://www.sz.gov.cn/gkmlpt/content/7/7786/post_7786617.html?jump=false,,2019-09-01,B,planning_reference_only
EV3_006,培训标准勿套用,济南/山东,,山东省2019年校外培训机构意见有“场所≥200㎡、生均≥3㎡”等表述，文件对象是培训机构而非校外托管，不能直接当作托管法定面积标准。,3,官方事实,http://edu.shandong.gov.cn/art/2019/3/22/art_11990_7739809.html,,2019-03,A,REG_SD_TRAIN_001
EV3_007,空间规划模型A,规划模型,,规划模型A紧凑复用：40人全日含午休自下而上合计约189㎡（含墙体损耗；就餐复用学习区；床假设1.2×0.6双层）。此为规划模型非实测。,185.4,规划模型非实测,venue_space_model_40_students.csv,,2026-09-16T04:51:20-07:00,B,model_assumption；禁止写成市场事实
EV3_008,空间规划模型B,规划模型,,规划模型B标准舒适：40人全日含午休合计约370㎡（单层床1.5×0.7；功能相对独立）。规划模型非实测。,370.0,规划模型非实测,venue_space_model_40_students.csv,,2026-09-16T04:51:20-07:00,B,model_assumption
EV3_009,空间规划模型C,规划模型,,规划模型C品质高端：40人全日含午休合计约505㎡（加宽过道与独立活动区）。规划模型非实测。,505.0,规划模型非实测,venue_space_model_40_students.csv,,2026-09-16T04:51:20-07:00,B,model_assumption
EV3_010,容量样本缺口,济南/山东,,本轮venue_capacity_samples中，山东本地同时公开“面积+在托/招生人数”的实测门店对极少；多条为品牌招商或外省口述，brand_claim不得当作容量定律。,,采集结论,venue_capacity_samples.csv,,2026-09-16T04:51:20-07:00,A,见failures F_003
