content_id,json_path,title,author,publish_time,actual_text_chars,paragraph_count,sha256,placeholder_detected,evidence_ready,status
7591436947063702022,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7591436947063702022.json,姜胡说 实战干货：普通人逆袭的 5 个核心逻辑,苏晗pb,2026-01-04,2393,23,927999c5f8bb4eaa...,True,False,PLACEHOLDER
7599942867901071906,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7599942867901071906.json,一个中年老男人到底适合做什么副业？,王混乱,2026-01-27,3120,31,e288e79303c107ed...,True,False,PLACEHOLDER
7605955836908814858,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7605955836908814858.json,2026开年冷思考：战略在AI面前像废纸,混沌学园,2026-02-12,93,1,5f78aea4862f9a9d...,True,False,PLACEHOLDER
7606730984955904531,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7606730984955904531.json,AI制作动画短视频教程,天雪聊历史,2026-02-15,85,1,6f63a991a101c0eb...,True,False,PLACEHOLDER
7610800331743707700,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7610800331743707700.json,2026年最稳副业：内容轻变现,在大地耕耘的勤作客,2026-02-26,91,1,825d99a7e32cdbf8...,True,False,PLACEHOLDER
7611009791036588590,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7611009791036588590.json,2026 搞钱风口：3个行业将迎来爆发,民俗小馆,2026-02-26,89,1,0360049a99b7ed48...,True,False,PLACEHOLDER
7626084420197401140,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7626084420197401140.json,AI副业指南：3天掌握AI绘画变现,咖啡屋随笔,2026-04-08,91,1,7738bfde230d86f2...,True,False,PLACEHOLDER
7636648275394822719,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7636648275394822719.json,2026搞钱野路子：冷门副业月入过万,本草情报站,2026-05-06,90,1,746ebd67934edc59...,True,False,PLACEHOLDER
7641201117593895464,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7641201117593895464.json,2026至2040财富风口到来,星河赴梦,2026-05-18,87,1,5b19a2598c5f71f8...,True,False,PLACEHOLDER
7644625679841067560,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7644625679841067560.json,2026下班兼职红黑榜,丸子说kuku,2026-05-28,85,1,e1b73e28ef4d21e8...,True,False,PLACEHOLDER
7645692141699662362,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7645692141699662362.json,副业收入超过主业：3个轻资产模式,韩姐觉醒录,2026-06-02,84,1,3a827857d0497e68...,True,False,PLACEHOLDER
7649646067054576147,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7649646067054576147.json,2026年AI变现平台推荐,AI观察者,2026-06-10,94,1,e670698db6ae7644...,True,False,PLACEHOLDER
7651163686538658344,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7651163686538658344.json,下班后靠AI接单赚钱,雪地小狗,2026-06-14,85,1,350a8ef63e82e0e6...,True,False,PLACEHOLDER
7652293131710300706,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7652293131710300706.json,1000种副业：闲鱼实物倒卖,素书,2026-06-17,79,1,9ac0f6337c20ad17...,True,False,PLACEHOLDER
7652914429046178313,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7652914429046178313.json,普通人赚不到钱的根源在认知闭环,夜雨十年,2026-06-19,91,1,89395d38df3530d9...,True,False,PLACEHOLDER
7653685852405350948,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7653685852405350948.json,普通人用AI提效的完整实战指南,博学的饼干k88VG,2026-06-21,82,1,69d0f7d362d53321...,True,False,PLACEHOLDER
7655054577745674795,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7655054577745674795.json,中国团队靠AI卖课出海赚美元,译海领读,2026-06-25,85,1,3115532802574b1a...,True,False,PLACEHOLDER
7665187044485906946,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7665187044485906946.json,别人靠AI表情包月入9000,富伟尧原,2026-07-22,94,1,6435f5e7989d2dc9...,True,False,PLACEHOLDER
7674332815097414180,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7674332815097414180.json,闲鱼爆增981万AI订单,世相派,2026-08-16,92,1,6a6d85988783b75f...,True,False,PLACEHOLDER
7682745433508069888,analysis_batches\batch_004_toutiao\SEED_WAVE_001_REFETCH\7682745433508069888.json,有人已经用AI在闲鱼上赚翻了,小刘论评,2026-09-07,84,1,b4ca0178c3497409...,True,False,PLACEHOLDER
