scenario_id,students,fill_rate,arpu_month,service_mix,monthly_revenue,gross_profit,cash_profit,accounting_profit,breakeven_students,breakeven_arpu,capex_payback_months,total_invest_payback_months,assumptions,notes
UE_900_20,10,20,900,午托为主(午餐+午休+轻度看护),9000,6470,-22290,-29509,,3129,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_900_40,20,40,900,午托为主(午餐+午休+轻度看护),18000,12940,-17760,-24979,,1788,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_900_60,30,60,900,午托为主(午餐+午休+轻度看护),27000,19411,-17580,-26007,,1486,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_900_80,40,80,900,午托为主(午餐+午休+轻度看护),36000,25880,-17105,-26993,,1328,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_900_100,50,100,900,午托为主(午餐+午休+轻度看护),45000,32351,-18315,-30170,,1267,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1200_20,10,20,1200,午晚托基础(午餐晚餐+作业看护),12000,9470,-19290,-26509,54,3129,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1200_40,20,40,1200,午晚托基础(午餐晚餐+作业看护),24000,18940,-11760,-18979,54,1788,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1200_60,30,60,1200,午晚托基础(午餐晚餐+作业看护),36000,28411,-8580,-17007,54,1486,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1200_80,40,80,1200,午晚托基础(午餐晚餐+作业看护),48000,37880,-5105,-14993,54,1328,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1200_100,50,100,1200,午晚托基础(午餐晚餐+作业看护),60000,47351,-3315,-15170,54,1267,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1500_20,10,20,1500,午晚托标准(含作业辅导口述价带),15000,12470,-16290,-23509,25,3129,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1500_40,20,40,1500,午晚托标准(含作业辅导口述价带),30000,24940,-5760,-12979,25,1788,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1500_60,30,60,1500,午晚托标准(含作业辅导口述价带),45000,37411,420,-8007,25,1486,2296.9,2296.9,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1500_80,40,80,1500,午晚托标准(含作业辅导口述价带),60000,49880,6895,-2993,25,1328,139.9,139.9,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1500_100,50,100,1500,午晚托标准(含作业辅导口述价带),75000,62351,11685,-170,25,1267,82.6,82.6,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1800_20,10,20,1800,全日托偏品质,18000,15470,-13290,-20509,20,3129,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1800_40,20,40,1800,全日托偏品质,36000,30940,240,-6979,20,1788,4019.5,4019.5,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1800_60,30,60,1800,全日托偏品质,54000,46411,9420,993,20,1486,102.4,102.4,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1800_80,40,80,1800,全日托偏品质,72000,61880,18895,9007,20,1328,51.1,51.1,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_1800_100,50,100,1800,全日托偏品质,90000,77351,26685,14830,20,1267,36.2,36.2,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_2200_20,10,20,2200,品质全日+小班辅导成分,22000,19470,-9290,-16509,16,3129,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
