content_id,previous_chars,final_chars,growth_chars,growth_ratio,article_container_selector,scroll_cycles,stable_rounds,article_bottom_reached,placeholder_detected,fulltext_complete,evidence_ready,sha256
7591436947063702022,655,2393,1738,265.3%,"article[class*=""article""]",3,3,True,False,True,True,927999c5f8bb4eaaefc793225e99dca9e9d06e627db1c25d63598da921ece03e
7599942867901071906,815,2586,1771,217.3%,"article[class*=""article""]",3,3,True,False,True,True,1a1e90bc8711ab367199a70fa2de62455af12aa2906ac08723a025747db91ab0
7605955836908814858,792,792,0,0.0%,"article[class*=""article""]",1,1,True,False,True,True,9f3083b7362238a972934b7fe8307b72d45411d320e47af8544a2a54034628ab
7606730984955904531,888,888,0,0.0%,"article[class*=""article""]",1,1,True,False,True,True,e2407722daac6d7cbc3eaa1c625cefecf8d12ec33fe4b4ab0e29f534041c63c0
7610800331743707700,777,3634,2857,367.7%,"article[class*=""article""]",3,3,True,False,True,True,ec353091540d08df51b520ba977ec8a585777eb8fe8575dd6fa93ee81b556b76
7611009791036588590,1118,1118,0,0.0%,"article[class*=""article""]",1,1,True,False,True,True,fb3be085c0d765dd64140d19f97dbef5335c7fcc4750322be5ba5653034e25d0
7626084420197401140,967,967,0,0.0%,"article[class*=""article""]",1,1,True,False,True,True,e1700234b5c4da1056b7ecd4337111bfe430270fc2b101604f71afd946d12307
7636648275394822719,1056,1056,0,0.0%,"article[class*=""article""]",1,1,True,False,True,True,1dbdb3be1af3127becb0aebe50556da4cabe74ae53f8417faa9ec86cc8ee709c
7641201117593895464,1045,1045,0,0.0%,"article[class*=""article""]",1,1,True,False,True,True,61cc6e03a883fb998594f97a0f9180f6cab5bd784f698832ce017ea914a2767f
7644625679841067560,0,424,424,N/A,"article[class*=""article""]",1,1,True,False,True,True,9df9132238fd734a30f18cf5263c27e75fb4edabb8c0cb14af4158e97eddc195
7645692141699662362,787,787,0,0.0%,"article[class*=""article""]",1,1,True,False,True,True,782f1d882874ee78febd06d05c850b17d30571465add8bcc4d7692ea686310a1
7649646067054576147,1043,1043,0,0.0%,"article[class*=""article""]",1,1,True,False,True,True,e10845c0bb0163487131151fe6492414cd3aaba673e26e60cdb792b2348f253d
7651163686538658344,1688,1688,0,0.0%,"article[class*=""article""]",1,1,True,False,True,True,d793ab7a35aa9b4ca978f9e0a42553fc9653672d75fd8147ca277fd3124697b0
7652293131710300706,818,818,0,0.0%,"article[class*=""article""]",1,1,True,False,True,True,105de30b87f658a165cecef715ffed897779c8d725712f27fd2e3e202ccc1815
7652914429046178313,2299,2299,0,0.0%,"article[class*=""article""]",1,1,True,False,True,True,ea35c145dacbfbda96f6a619a5177ad6ffa79da942d1f1ba6753a98be1625b36
7653685852405350948,1274,1274,0,0.0%,"article[class*=""article""]",1,1,True,False,True,True,8643347d3a074f5fabb7124679bf0f1c31cd52b054a456b4bcca596663e0af7e
7655054577745674795,0,327,327,N/A,"article[class*=""article""]",1,1,True,False,True,True,fbc8fff8f52c4c124c8332f0af0a08a9af4725e9da3d2962412d4ad8b97a7408
7665187044485906946,0,280,280,N/A,"article[class*=""article""]",1,1,True,False,True,True,ad89d19990468dca063b91684d9ed28088291bf69d81d7f97a7c34f0f2a6767f
7674332815097414180,0,405,405,N/A,"article[class*=""article""]",1,1,True,False,True,True,53b1373756effe2962f8e91d22a74491653a4648cc286d550be0cfcd93a4ca57
7682745433508069888,0,474,474,N/A,"article[class*=""article""]",1,1,True,False,True,True,db8cbb7a7110298a3d169299be493c7962e2e5fc74bc4a921441bc9d04f4fb41
